Time Stamp,Time Zone,Fuel Category,Gen MW
07/12/2024 03:20:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:20:00,EDT,Other Renewables,238.0
07/12/2024 03:20:00,EDT,Wind,76.0
07/12/2024 03:20:00,EDT,Hydro,2552.0
07/12/2024 03:25:00,EDT,Dual Fuel,4587.0
07/12/2024 03:25:00,EDT,Natural Gas,4471.0
07/12/2024 03:25:00,EDT,Nuclear,3249.0
07/12/2024 03:25:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:25:00,EDT,Other Renewables,237.0
07/12/2024 03:25:00,EDT,Wind,86.0
07/12/2024 03:25:00,EDT,Hydro,2546.0
07/12/2024 03:30:00,EDT,Dual Fuel,4545.0
07/12/2024 03:30:00,EDT,Natural Gas,4463.0
07/12/2024 03:30:00,EDT,Nuclear,3250.0
07/12/2024 03:30:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:30:00,EDT,Other Renewables,238.0
07/12/2024 03:30:00,EDT,Wind,99.0
07/12/2024 03:30:00,EDT,Hydro,2538.0
07/12/2024 03:35:00,EDT,Dual Fuel,4509.0
07/12/2024 03:35:00,EDT,Natural Gas,4452.0
07/12/2024 03:35:00,EDT,Nuclear,3249.0
07/12/2024 03:35:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:35:00,EDT,Other Renewables,239.0
07/12/2024 03:35:00,EDT,Wind,98.0
07/12/2024 03:35:00,EDT,Hydro,2559.0
07/12/2024 03:40:00,EDT,Dual Fuel,4461.0
07/12/2024 03:40:00,EDT,Natural Gas,4453.0
07/12/2024 03:40:00,EDT,Nuclear,3249.0
07/12/2024 03:40:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:40:00,EDT,Other Renewables,240.0
07/12/2024 03:40:00,EDT,Wind,98.0
07/12/2024 03:40:00,EDT,Hydro,2571.0
07/12/2024 03:45:00,EDT,Dual Fuel,4469.0
07/12/2024 03:45:00,EDT,Natural Gas,4476.0
07/12/2024 03:45:00,EDT,Nuclear,3249.0
07/12/2024 03:45:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:45:00,EDT,Other Renewables,240.0
07/12/2024 03:45:00,EDT,Wind,100.0
07/12/2024 03:45:00,EDT,Hydro,2570.0
07/12/2024 03:50:00,EDT,Dual Fuel,4449.0
07/12/2024 03:50:00,EDT,Natural Gas,4488.0
07/12/2024 03:50:00,EDT,Nuclear,3250.0
07/12/2024 03:50:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:50:00,EDT,Other Renewables,242.0
07/12/2024 03:50:00,EDT,Wind,105.0
07/12/2024 03:50:00,EDT,Hydro,2571.0
07/12/2024 03:55:00,EDT,Dual Fuel,4427.0
07/12/2024 03:55:00,EDT,Natural Gas,4487.0
07/12/2024 03:55:00,EDT,Nuclear,3251.0
07/12/2024 03:55:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:55:00,EDT,Other Renewables,243.0
07/12/2024 03:55:00,EDT,Wind,97.0
07/12/2024 03:55:00,EDT,Hydro,2574.0
07/12/2024 04:00:00,EDT,Dual Fuel,4404.0
07/12/2024 04:00:00,EDT,Natural Gas,4494.0
07/12/2024 04:00:00,EDT,Nuclear,3251.0
07/12/2024 04:00:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:00:00,EDT,Other Renewables,243.0
07/12/2024 04:00:00,EDT,Wind,81.0
07/12/2024 04:00:00,EDT,Hydro,2560.0
07/12/2024 04:05:00,EDT,Dual Fuel,4452.0
07/12/2024 04:05:00,EDT,Natural Gas,4509.0
07/12/2024 04:05:00,EDT,Nuclear,3252.0
07/12/2024 04:05:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:05:00,EDT,Other Renewables,252.0
07/12/2024 04:05:00,EDT,Wind,74.0
07/12/2024 04:05:00,EDT,Hydro,2531.0
07/12/2024 04:10:00,EDT,Dual Fuel,4546.0
07/12/2024 04:10:00,EDT,Natural Gas,4573.0
07/12/2024 04:10:00,EDT,Nuclear,3251.0
07/12/2024 04:10:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:10:00,EDT,Other Renewables,242.0
07/12/2024 04:10:00,EDT,Wind,74.0
07/12/2024 04:10:00,EDT,Hydro,2534.0
07/12/2024 04:15:00,EDT,Dual Fuel,4553.0
07/12/2024 04:15:00,EDT,Natural Gas,4601.0
07/12/2024 04:15:00,EDT,Nuclear,3251.0
07/12/2024 04:15:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:15:00,EDT,Other Renewables,246.0
07/12/2024 04:15:00,EDT,Wind,66.0
07/12/2024 04:15:00,EDT,Hydro,2498.0
07/12/2024 04:20:00,EDT,Dual Fuel,4564.0
07/12/2024 04:20:00,EDT,Natural Gas,4601.0
07/12/2024 04:20:00,EDT,Nuclear,3251.0
07/12/2024 04:20:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:20:00,EDT,Other Renewables,250.0
07/12/2024 04:20:00,EDT,Wind,11.0
07/12/2024 04:20:00,EDT,Hydro,2515.0
07/12/2024 04:25:00,EDT,Dual Fuel,4561.0
07/12/2024 04:25:00,EDT,Natural Gas,4616.0
07/12/2024 04:25:00,EDT,Nuclear,3250.0
07/12/2024 04:25:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:25:00,EDT,Other Renewables,249.0
07/12/2024 04:25:00,EDT,Wind,7.0
07/12/2024 04:25:00,EDT,Hydro,2503.0
07/12/2024 04:30:00,EDT,Dual Fuel,4561.0
07/12/2024 04:30:00,EDT,Natural Gas,4645.0
07/12/2024 04:30:00,EDT,Nuclear,3250.0
