"Time Stamp","Time Zone","Name","PTID","Load"
"07/12/2024 01:15:00","EDT","N.Y.C.",61761,6903.535
"07/12/2024 01:15:00","EDT","NORTH",61755,641.4904
"07/12/2024 01:15:00","EDT","WEST",61752,1755.5122
"07/12/2024 01:20:00","EDT","CAPITL",61757,1503.6926
"07/12/2024 01:20:00","EDT","CENTRL",61754,1701.2432
"07/12/2024 01:20:00","EDT","DUNWOD",61760,800.3262
"07/12/2024 01:20:00","EDT","GENESE",61753,1072.2957
"07/12/2024 01:20:00","EDT","HUD VL",61758,1213.2808
"07/12/2024 01:20:00","EDT","LONGIL",61762,2750.581
"07/12/2024 01:20:00","EDT","MHK VL",61756,816.386
"07/12/2024 01:20:00","EDT","MILLWD",61759,341.1034
"07/12/2024 01:20:00","EDT","N.Y.C.",61761,6893.9204
"07/12/2024 01:20:00","EDT","NORTH",61755,654.777
"07/12/2024 01:20:00","EDT","WEST",61752,1744.8994
"07/12/2024 01:25:00","EDT","CAPITL",61757,1511.2148
"07/12/2024 01:25:00","EDT","CENTRL",61754,1695.6631
"07/12/2024 01:25:00","EDT","DUNWOD",61760,793.5403
"07/12/2024 01:25:00","EDT","GENESE",61753,1077.3861
"07/12/2024 01:25:00","EDT","HUD VL",61758,1215.16
"07/12/2024 01:25:00","EDT","LONGIL",61762,2743.799
"07/12/2024 01:25:00","EDT","MHK VL",61756,811.8089
"07/12/2024 01:25:00","EDT","MILLWD",61759,341.1562
"07/12/2024 01:25:00","EDT","N.Y.C.",61761,6856.254
"07/12/2024 01:25:00","EDT","NORTH",61755,651.1679
"07/12/2024 01:25:00","EDT","WEST",61752,1749.5254
"07/12/2024 01:30:00","EDT","CAPITL",61757,1498.3735
"07/12/2024 01:30:00","EDT","CENTRL",61754,1684.5659
"07/12/2024 01:30:00","EDT","DUNWOD",61760,788.2246
"07/12/2024 01:30:00","EDT","GENESE",61753,1066.2443
"07/12/2024 01:30:00","EDT","HUD VL",61758,1223.8986
"07/12/2024 01:30:00","EDT","LONGIL",61762,2722.9246
"07/12/2024 01:30:00","EDT","MHK VL",61756,811.0892
"07/12/2024 01:30:00","EDT","MILLWD",61759,339.2885
"07/12/2024 01:30:00","EDT","N.Y.C.",61761,6823.5386
"07/12/2024 01:30:00","EDT","NORTH",61755,639.2192
"07/12/2024 01:30:00","EDT","WEST",61752,1749.1416
"07/12/2024 01:35:00","EDT","CAPITL",61757,1503.4165
"07/12/2024 01:35:00","EDT","CENTRL",61754,1667.0537
"07/12/2024 01:35:00","EDT","DUNWOD",61760,811.7563
