l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
344,24333232,24400930,500000,3,line,60,Path 15,Pacific Gas and Electric,53509.0,,,,,
345,24333232,93251033,500000,3,line,60,Path 15,Pacific Gas and Electric,21770.0,,,,,
346,24333232,30567721,500000,3,line,60,Path 26,Southern California Edison,17517.0,,,,,
347,105199139,507591114,500000,3,line,60,,,24652.0,,,,,
348,105199139,61430467,500000,3,line,60,,,83133.0,,,,,
349,75355429,86369466,500000,3,line,60,,Southern California Edison,36070.0,,,,,
350,30620967,79671026,500000,3,line,60,,Los Angeles Department of Water & Power,197884.0,,,,,
351,24400937,93251033,500000,3,line,60,Path 15,Pacific Gas and Electric,46308.0,,,,,
352,24049455,92966624,500000,3,line,60,Path 66,Western Area Power Administration,77641.0,,,,,
353,23805620,23837624,500000,3,line,60,Path 15 Connector,Pacific Gas and Electric,56965.0,,,,,
354,23837624,24376540,500000,3,line,60,Path 15 Connector,Pacific Gas and Electric,13099.0,,,,,
355,87177785,61601149,500000,3,line,60,,,1554.0,,,,,
356,86369466,30567721,500000,3,line,60,,,75952.0,,,,,
357,30755899,24376540,500000,3,line,60,Path 15 Connector,Pacific Gas and Electric,56483.0,,,,,
358,61430467,61601149,500000,3,line,60,,,66884.0,,,,,
359,93128776,92966624,500000,3,line,60,Path 66,Western Area Power Administration,76365.0,,,,,
360,93128776,93984357,500000,3,line,60,Path 66,,74450.0,,,,,
361,507591114,402225518,500000,3,line,60,,,51112.0,,,,,
